File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
1B,500k,1,6.1726108909546555,0.162006
1B,500k,3,6.598003444157798,0.151561
1B,500k,5,6.256334538720454,0.159838
1B,500k,7,6.346949655995329,0.157556
1B,1M,1,6.130343360531624,0.163123
1B,1M,3,7.6057773484739,0.131479
1B,1M,5,6.139074595895415,0.162891
1B,1M,7,5.506759547344365,0.181595
1B,1.5M,1,0.1938299281937648,5.159162
1B,1.5M,3,6.793524412529977,0.147199
1B,1.5M,5,6.256882570827911,0.159824
1B,1.5M,7,5.197181048999023,0.192412
1B,2M,1,7.232174497906286,0.138271
1B,2M,3,7.406255323246014,0.135021
1B,2M,5,7.135721421435708,0.14014
1B,2M,7,6.554626255210928,0.152564
1B,inf,1,7.338318497699437,0.136271
1B,inf,3,7.506718513069197,0.133214
1B,inf,5,6.8578168825736014,0.145819
1B,inf,7,5.165662806194662,0.193586
1kB,500k,1,7502.381126822478,0.13649
1kB,500k,3,199.13578182185904,5.14222
1kB,500k,5,5767.129613985289,0.177558
1kB,500k,7,198.71714884360787,5.153053
1kB,1M,1,7213.248709152514,0.141961
1kB,1M,3,7486.584099782128,0.136778
1kB,1M,5,6501.752425458424,0.157496
1kB,1M,7,5875.16423493772,0.174293
1kB,1.5M,1,6447.225929936787,0.158828
1kB,1.5M,3,6513.497697376791,0.157212
1kB,1.5M,5,6219.89516075149,0.164633
1kB,1.5M,7,6342.678047148892,0.161446
1kB,2M,1,6370.575902550097,0.160739
1kB,2M,3,7530.9622569352505,0.135972
1kB,2M,5,7166.6526692981715,0.142884
1kB,2M,7,6272.818602827669,0.163244
1kB,inf,1,7185.107741532589,0.142517
1kB,inf,3,198.85661331263464,5.149439
1kB,inf,5,5610.989649258352,0.182499
1kB,inf,7,5676.841369981485,0.180382
10kB,500k,1,70891.54424490813,0.144446
10kB,500k,3,75358.9485071716,0.135883
10kB,500k,5,71037.60692061686,0.144149
10kB,500k,7,54921.47944735261,0.186448
10kB,1M,1,67048.17778243391,0.152726
10kB,1M,3,71991.50725187888,0.142239
10kB,1M,5,69749.0668337738,0.146812
10kB,1M,7,49331.80456126489,0.207574
10kB,1.5M,1,68577.09230449836,0.149321
10kB,1.5M,3,75431.66951499794,0.135752
10kB,1.5M,5,59301.47037532503,0.172677
10kB,1.5M,7,62144.21828156671,0.164778
10kB,2M,1,72572.12918405964,0.141101
10kB,2M,3,64168.442160671766,0.15958
10kB,2M,5,64153.567602448355,0.159617
10kB,2M,7,57697.29205873404,0.177478
10kB,inf,1,71148.66179372447,0.143924
10kB,inf,3,73012.47771836007,0.14025
10kB,inf,5,59982.30990469607,0.170717
10kB,inf,7,50486.87292000493,0.202825
100kB,500k,1,564358.3455041472,0.181445
100kB,500k,3,526453.7887706996,0.194509
100kB,500k,5,472283.3331027262,0.216819
100kB,500k,7,364549.0307766247,0.280895
100kB,1M,1,569088.0697132885,0.179937
100kB,1M,3,468360.50952500745,0.218635
100kB,1M,5,485849.1685052072,0.210765
100kB,1M,7,406325.0203360911,0.252015
100kB,1.5M,1,544003.7400257126,0.188234
100kB,1.5M,3,533400.0083343751,0.191976
100kB,1.5M,5,469537.38645586395,0.218087
100kB,1.5M,7,417482.0613176778,0.24528
100kB,2M,1,601443.6998185097,0.170257
100kB,2M,3,555236.2465162178,0.184426
100kB,2M,5,424926.239610263,0.240983
100kB,2M,7,374028.4027818362,0.273776
100kB,inf,1,542994.1034234081,0.188584
100kB,inf,3,506176.4400571426,0.202301
100kB,inf,5,427186.41013232764,0.239708
100kB,inf,7,384755.56373829104,0.266143
500kB,500k,1,511112.7083383247,1.001736
500kB,500k,3,506507.93446657894,1.010843
500kB,500k,5,504082.8743750652,1.015706
500kB,500k,7,465138.674009559,1.100747
500kB,1M,1,825105.1122674758,0.620527
500kB,1M,3,804036.5145645248,0.636787
500kB,1M,5,780857.9982278184,0.655689
500kB,1M,7,866172.9029987853,0.591106
500kB,1.5M,1,1125484.9807106822,0.454915
500kB,1.5M,3,1637530.1439875138,0.312666
500kB,1.5M,5,93587.84352405024,5.470796
500kB,1.5M,7,93649.74264611737,5.46718
500kB,2M,1,1902638.4243775548,0.2691
500kB,2M,3,1508784.5443883236,0.339346
500kB,2M,5,1037569.3317202373,0.493461
500kB,2M,7,1029100.2206937582,0.497522
500kB,inf,1,1755589.0824303937,0.29164
500kB,inf,3,1451551.6293100028,0.352726
500kB,inf,5,996935.2031060763,0.513574
500kB,inf,7,815473.6117835938,0.627856
1MB,500k,1,514843.45425344765,2.036689
1MB,500k,3,507665.75404808077,2.065485
1MB,500k,5,148852.56969621088,7.044393
1MB,500k,7,500097.05519746087,2.096745
1MB,1M,1,999522.4373425401,1.049077
1MB,1M,3,976054.1971011849,1.074301
1MB,1M,5,992116.6269911856,1.056908
1MB,1M,7,858925.9984649398,1.220799
1MB,1.5M,1,1574036.6573096956,0.66617
1MB,1.5M,3,1631951.2426676461,0.642529
1MB,1.5M,5,1438190.4116615965,0.729094
1MB,1.5M,7,1058136.261119212,0.990965
1MB,2M,1,2145977.2749598874,0.488624
1MB,2M,3,2145823.5702197235,0.488659
1MB,2M,5,1387256.6854046304,0.755863
1MB,2M,7,1130380.5069041462,0.927631
1MB,inf,1,2945115.563182685,0.356039
1MB,inf,3,2282147.435409135,0.459469
1MB,inf,5,1393243.557462979,0.752615
1MB,inf,7,1172329.4403860301,0.894438
10MB,500k,1,510403.22047173616,20.544071
10MB,500k,3,509961.8210479377,20.561853
10MB,500k,5,508706.9175633361,20.612576
10MB,500k,7,509412.8641886171,20.584011
10MB,1M,1,1039352.9894422871,10.088738
10MB,1M,3,1034844.8506457517,10.132688
10MB,1M,5,1048309.8341331135,10.002539
10MB,1M,7,686051.544940218,15.284216
10MB,1.5M,1,1563856.5770801625,6.705065
10MB,1.5M,3,1570511.6875943213,6.676652
10MB,1.5M,5,1576203.739293001,6.652541
10MB,1.5M,7,1199309.2662314773,8.743166
10MB,2M,1,2089707.2090968713,5.017813
10MB,2M,3,2096683.6008835626,5.001117
10MB,2M,5,1709831.413221216,6.132628
10MB,2M,7,1137227.4268311993,9.22046
10MB,inf,1,4858371.477009313,2.158287
10MB,inf,3,3000516.217351542,3.494652
10MB,inf,5,1743970.1426010132,6.01258
10MB,inf,7,1234227.8060492435,8.495806
100MB,500k,1,511573.76014022063,204.970638
100MB,500k,3,511617.5958247145,204.953076
100MB,500k,5,509589.86140816467,205.768615
100MB,500k,7,511768.8294218271,204.89251
100MB,1M,1,1046924.4348270829,100.157754
100MB,1M,3,1047836.1333845784,100.070609
100MB,1M,5,1047995.1277405473,100.055427
100MB,1M,7,1045262.3615246128,100.317015
100MB,1.5M,1,1572534.1373766733,66.680651
100MB,1.5M,3,1570255.4288713417,66.777416
100MB,1.5M,5,1457878.5324141046,71.924785
100MB,1.5M,7,1237256.78058724,84.750071
100MB,2M,1,2089809.0379832382,50.175685
100MB,2M,3,2095659.9320415852,50.035599
100MB,2M,5,1837354.1956599914,57.069889
100MB,2M,7,1258994.9933091998,83.286749
100MB,inf,1,7558535.115735239,13.872741
100MB,inf,3,3098738.7259595497,33.8388
100MB,inf,5,1799974.8862909446,58.255035
100MB,inf,7,1301563.6946427426,80.562788
500MB,500k,1,511905.4344693196,1024.189166
500MB,500k,3,511908.76026205765,1024.182512
500MB,500k,5,511970.2082335957,1024.059587
500MB,500k,7,510972.90055814444,1026.058328
500MB,1M,1,1047522.6991656258,500.502758
500MB,1M,3,1047963.7313817951,500.292123
500MB,1M,5,1047987.303612069,500.28087
500MB,1M,7,955781.223448458,548.543942
500MB,1.5M,1,1571536.5042564163,333.614904
500MB,1.5M,3,1572096.048373426,333.496163
500MB,1.5M,5,1121149.5772609084,467.634302
500MB,1.5M,7,1172608.9982120378,447.11238
500MB,2M,1,2094903.6990724667,250.268306
500MB,2M,3,1893284.646601124,276.919797
500MB,2M,5,1218541.6188470714,430.258591
500MB,2M,7,1045776.4459963035,501.338505
500MB,inf,1,7426239.906977098,70.599389
500MB,inf,3,2797255.404413933,187.429435
500MB,inf,5,1618720.3416854453,323.890413
500MB,inf,7,1151012.1671312924,455.501701
