File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
10MB,500k,7,48629160.54111961,0.215627
10MB,1M,1,48378324.759510025,0.216745
10MB,1M,3,52056853.77974373,0.201429
10MB,1M,5,27651226.876573972,0.379215
10MB,1M,7,47857455.82006718,0.219104
10MB,1.5M,1,60087904.783189215,0.174507
10MB,1.5M,3,60626748.9997456,0.172956
10MB,1.5M,5,62087063.616124295,0.168888
10MB,1.5M,7,66261982.84959588,0.158247
10MB,2M,1,72668403.83655818,0.144296
10MB,2M,3,68651490.45103084,0.152739
10MB,2M,5,6417127.746359149,1.634027
10MB,2M,7,47711992.42851683,0.219772
10MB,inf,1,53369707.95117929,0.196474
10MB,inf,3,58148263.16489952,0.180328
10MB,inf,5,56691735.01440845,0.184961
10MB,inf,7,65169827.034350745,0.160899
100MB,500k,1,712783631.2963089,0.14711
100MB,500k,3,749952438.5097877,0.139819
100MB,500k,5,756690288.2214557,0.138574
100MB,500k,7,741499013.527752,0.141413
100MB,1M,1,715565928.2916377,0.146538
100MB,1M,3,781755149.8162245,0.134131
100MB,1M,5,752514299.2471814,0.139343
100MB,1M,7,781994183.0114104,0.13409
100MB,1.5M,1,742317902.8295944,0.141257
100MB,1.5M,3,720037355.4536215,0.145628
100MB,1.5M,5,775545283.0886432,0.135205
100MB,1.5M,7,764062169.8230069,0.137237
100MB,2M,1,767305004.5003183,0.136657
100MB,2M,3,761559467.7822323,0.137688
100MB,2M,5,696978317.8017362,0.150446
100MB,2M,7,757100051.263908,0.138499
100MB,inf,1,34949597.567137696,3.000252
100MB,inf,3,285606580.59595793,0.36714
100MB,inf,5,284131517.4802057,0.369046
100MB,inf,7,347545482.56763965,0.301709
500MB,500k,1,2063199981.11084,0.254114
500MB,500k,3,2415773152.6492095,0.217027
500MB,500k,5,3211840525.374305,0.163236
500MB,500k,7,3017536993.444491,0.173747
500MB,1M,1,3333023947.718069,0.157301
500MB,1M,3,2881225716.7508397,0.181967
500MB,1M,5,3886378461.7209277,0.134904
500MB,1M,7,3474199683.2528214,0.150909
500MB,1.5M,1,3438585445.196495,0.152472
500MB,1.5M,3,3440367995.9053235,0.152393
500MB,1.5M,5,3494065351.113955,0.150051
500MB,1.5M,7,3107886375.492009,0.168696
500MB,2M,1,3474936537.7095246,0.150877
500MB,2M,3,3514300843.9073114,0.149187
500MB,2M,5,3528919222.7180634,0.148569
500MB,2M,7,3309000713.1902323,0.158443
500MB,inf,1,3492622224.5908084,0.150113
500MB,inf,3,3651971608.2834716,0.143563
500MB,inf,5,3364810833.360074,0.155815
500MB,inf,7,3450057579.047807,0.151965
