File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
1B,500k,1,4.7242904115801805,0.211672
1B,500k,7,4.732540475052413,0.211303
1B,inf,1,4.860668925257494,0.205733
1B,inf,7,2.9243186337583342,0.34196
500MB,500k,1,511807.98803598847,1024.384168
500MB,500k,7,511467.2065090024,1025.066697
500MB,inf,1,5553024.350818007,94.414857
500MB,inf,7,1385850.650104917,378.314936
