File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
10MB,500k,7,513566.22653206735,20.417542
10MB,1M,1,1042621.2771000983,10.057113
10MB,1M,3,1031479.8405311013,10.165744
10MB,1M,5,1051385.5123661447,9.973278
10MB,1M,7,1046168.4525401692,10.023013
10MB,1.5M,1,1577212.2954379076,6.648287
10MB,1.5M,3,1566393.8535485324,6.694204
10MB,1.5M,5,1542309.9908115286,6.798737
10MB,1.5M,7,1519978.0362060503,6.898626
10MB,2M,1,2105754.005110878,4.979575
10MB,2M,3,2039595.829450407,5.141097
10MB,2M,5,1952615.1321639349,5.370111
10MB,2M,7,1415183.351146121,7.409471
10MB,inf,1,7169073.960884375,1.462638
10MB,inf,3,2635326.854861694,3.978922
10MB,inf,5,1941284.6985274705,5.401454
10MB,inf,7,1358507.0124845325,7.718591
100MB,500k,1,511689.67570229195,204.924205
100MB,500k,3,511643.34112154035,204.942763
100MB,500k,5,511774.67420716176,204.89017
100MB,500k,7,511898.1952466192,204.84073
100MB,1M,1,1047907.2570257839,100.063817
100MB,1M,3,1046847.6127174989,100.165104
100MB,1M,5,997241.4031848165,105.14766
100MB,1M,7,994000.2945478169,105.490512
100MB,1.5M,1,1571861.8830343997,66.709169
100MB,1.5M,3,1573369.374109811,66.645253
100MB,1.5M,5,1203166.9649007877,87.151329
100MB,1.5M,7,1158321.775810007,90.52545
100MB,2M,1,2094449.406264133,50.064518
100MB,2M,3,2093908.7029318546,50.077446
100MB,2M,5,1839483.5462447733,57.003826
100MB,2M,7,1272215.2447220755,82.421273
100MB,inf,1,7759157.806501148,13.514044
100MB,inf,3,2809058.5666486765,37.328378
100MB,inf,5,2006325.5615744998,52.263502
100MB,inf,7,1452106.952797647,72.210659
500MB,500k,1,511962.21128924226,1024.075583
500MB,500k,3,511983.5170306582,1024.032967
500MB,500k,5,511875.4642986605,1024.249132
500MB,500k,7,511896.96723806,1024.206107
500MB,1M,1,1048396.3677663469,500.08567
500MB,1M,3,1046664.9488963875,500.912924
500MB,1M,5,1047876.8858822921,500.333586
500MB,1M,7,1037645.1492314829,505.267143
500MB,1.5M,1,1572324.3987065812,333.447729
500MB,1.5M,3,1571842.7360501625,333.549908
500MB,1.5M,5,1571747.083515765,333.570207
500MB,1.5M,7,1176956.250446111,445.460908
500MB,2M,1,2095980.1458843567,250.139774
500MB,2M,3,2096016.7889230521,250.135401
500MB,2M,5,1450056.722633011,361.563787
500MB,2M,7,995825.6608398485,526.48573
500MB,inf,1,6987160.003349329,75.035923
500MB,inf,3,2901428.4873428526,180.699956
500MB,inf,5,1646417.8181015935,318.441646
500MB,inf,7,1145630.1150384273,457.641601
