file size,buffSize=1,buffSize=10,buffSize=100,buffSize=1000,buffSize=10000,buffSize=100000
1kb,74.75517679599312,84.01949252226517,80.95199546668826,86.38562543192813,85.85164835164835,93.53661958656814
10kb,951.3842641042718,861.6232982939858,742.7764985515859,929.2816652727441,908.7604507451836,880.9020436927415
100kb,9953.219866626854,9300.595238095239,8717.63577717723,8081.4611281719735,9732.3600973236,8622.919720617401
1mb,78563.7563295995,74755.43875018251,74739.07014086563,74706.35441745093,79583.43048107561,81600.12750019922
10mb,304074.1180662787,297838.92266077193,302994.4372115043,293788.5525749534,316674.9134092034,276981.3362185556
100mb,397453.81151995034,407662.7864388426,418316.0328606852,428349.724124372,393737.1189516749,433477.6847889125
