file size,fgetc,fread
1kb,49.37540117513455,59.912527709544065
10kb,645.3694740238786,793.2101213611486
100kb,7435.49706297866,6487.60866744518
1mb,46598.407281001135,28193.056358580438
10mb,113028.02521054781,39683.46238209284
100mb,127891.77158829341,42367.90234198511
